Channel Id,Channel Url,Channel Title
UCWENB1OaGA9402PKzEVl0ow,http://www.youtube.com/channel/UCWENB1OaGA9402PKzEVl0ow,storybooth
UCWQerFAlYiP6yrk3fI1_Pxw,http://www.youtube.com/channel/UCWQerFAlYiP6yrk3fI1_Pxw,Prachi Puri
UCWVw83_t-zfX0s1KYBdAIDg,http://www.youtube.com/channel/UCWVw83_t-zfX0s1KYBdAIDg,Culfest NIT Jamshedpur
UCX6b17PVsYBQ0ip5gyeme-Q,http://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse
UCXAS_Ekkq0iFJ9dSUIkcAkw,http://www.youtube.com/channel/UCXAS_Ekkq0iFJ9dSUIkcAkw,The Efficient Engineer
UCXY0b7SOnB0BJE_txtQLCvw,http://www.youtube.com/channel/UCXY0b7SOnB0BJE_txtQLCvw,NAS Daily
UCX_7hEUHZCQhQI8oqHPsr0g,http://www.youtube.com/channel/UCX_7hEUHZCQhQI8oqHPsr0g,UnErase Poetry
UCXt7UxNv_-m_fbyxM7DmBTQ,http://www.youtube.com/channel/UCXt7UxNv_-m_fbyxM7DmBTQ,Sword Pen
UCYC6Vcczj8v-Y5OgpEJTFBw,http://www.youtube.com/channel/UCYC6Vcczj8v-Y5OgpEJTFBw,Fit Tuber
UCYOfhQvPzZ7ALqeXa8NleHQ,http://www.youtube.com/channel/UCYOfhQvPzZ7ALqeXa8NleHQ,Eric Karl Anderson
UCZC45sBWNdkqSQ9Bwtt5lfA,http://www.youtube.com/channel/UCZC45sBWNdkqSQ9Bwtt5lfA,Anna Akana
UCZOi-NkruQh2QKoOVs14TDQ,http://www.youtube.com/channel/UCZOi-NkruQh2QKoOVs14TDQ,Suraj Ganguly
UC_tbZnjIYcGZ8XVqAUePjEg,http://www.youtube.com/channel/UC_tbZnjIYcGZ8XVqAUePjEg,Hi I'm Haley
UCaLqoMB2SYau80tJIs0bzGg,http://www.youtube.com/channel/UCaLqoMB2SYau80tJIs0bzGg,Horizon Academy
UCaLslnrr2Tt9XkAlg6HHOJw,http://www.youtube.com/channel/UCaLslnrr2Tt9XkAlg6HHOJw,Rebecca Dell‘Anna
UCakQBGOPUl6cZE0QCK0JJPw,http://www.youtube.com/channel/UCakQBGOPUl6cZE0QCK0JJPw,Coding Club
UCbAwSkqJ1W_Eg7wr3cp5BUA,http://www.youtube.com/channel/UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard
UCbDkU_s8lrlkObTApjmpAPQ,http://www.youtube.com/channel/UCbDkU_s8lrlkObTApjmpAPQ,Beatbreakers - Official Dance team of NIT Jamshedpur
UCbE8yt_7uabZNRzqbuzA8IA,http://www.youtube.com/channel/UCbE8yt_7uabZNRzqbuzA8IA,Alumni Team NITJSR
UCbmaCQXa2xwyaGLlpKK96wQ,http://www.youtube.com/channel/UCbmaCQXa2xwyaGLlpKK96wQ,What The Film
UCdQcjf5Nji3-XD4xRTrfQBQ,http://www.youtube.com/channel/UCdQcjf5Nji3-XD4xRTrfQBQ,Jeeya Sethi
UCdcNBwM8j9Y7WTRRc2DmQbw,http://www.youtube.com/channel/UCdcNBwM8j9Y7WTRRc2DmQbw,THEY ACTUALLY ANIMATED MY STORY
UCfVrbQfrtgSH7m39Xw07WQA,http://www.youtube.com/channel/UCfVrbQfrtgSH7m39Xw07WQA,The Petite Planner
UCfnoKx2jyLdoQoSBa6XvvUA,http://www.youtube.com/channel/UCfnoKx2jyLdoQoSBa6XvvUA,The Swaddle
UCftwRNsjfRo08xYE31tkiyw,http://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,WIRED
UCgSku43Ciye6rdl23J3mTGw,http://www.youtube.com/channel/UCgSku43Ciye6rdl23J3mTGw,lemoncholy
UCgWfS_47YPVbKx5EK4FLm4A,http://www.youtube.com/channel/UCgWfS_47YPVbKx5EK4FLm4A,Jenn Im
UCgjw6tZNyjR_8zIFDsIPpww,http://www.youtube.com/channel/UCgjw6tZNyjR_8zIFDsIPpww,Trash is for Tossers
UCh9o08eUSNWTacXJqTTtbXA,http://www.youtube.com/channel/UCh9o08eUSNWTacXJqTTtbXA,STEEZY
UCix7wE05YbRdOVUPNHy0KTg,http://www.youtube.com/channel/UCix7wE05YbRdOVUPNHy0KTg,ModernHealthMonk
UCj22tfcQrWG7EMEKS0qLeEg,http://www.youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg,CarryMinati
UCjdgBls3uP-OzfzH3Yv2Eyg,http://www.youtube.com/channel/UCjdgBls3uP-OzfzH3Yv2Eyg,AKIO TV
UCk9aeo2A6a1fg3VeRueTn9w,http://www.youtube.com/channel/UCk9aeo2A6a1fg3VeRueTn9w,AmandaRachLee
UCkG5Knsb4_6CX-J82cKTwAw,http://www.youtube.com/channel/UCkG5Knsb4_6CX-J82cKTwAw,Salaam Baalak Trust
UCkJEpR7JmS36tajD34Gp4VA,http://www.youtube.com/channel/UCkJEpR7JmS36tajD34Gp4VA,Psych2Go
UCkbTTGoBpjX8ogXHCt-aegw,http://www.youtube.com/channel/UCkbTTGoBpjX8ogXHCt-aegw,Sorelle Amore
UCkzNGkwGErVvD6N2HmXN1gQ,http://www.youtube.com/channel/UCkzNGkwGErVvD6N2HmXN1gQ,Ana Mascara
UCkzurRVMuPQEIUk7d-c6RbA,http://www.youtube.com/channel/UCkzurRVMuPQEIUk7d-c6RbA,Ben Platt
UClEEsT7DkdVO_fkrBw0OTrA,http://www.youtube.com/channel/UClEEsT7DkdVO_fkrBw0OTrA,mycodeschool
UClNHWmlNIgEXLotLtlY2mLw,http://www.youtube.com/channel/UClNHWmlNIgEXLotLtlY2mLw,Danny Casale
UCmXZxX_qexEZxhb5_vQKPCw,http://www.youtube.com/channel/UCmXZxX_qexEZxhb5_vQKPCw,Aman Dhattarwal
UCmoeGab9cYH7mjh5wiMMl4g,http://www.youtube.com/channel/UCmoeGab9cYH7mjh5wiMMl4g,Animesh Shankar
UCnVzApLJE2ljPZSeQylSEyg,http://www.youtube.com/channel/UCnVzApLJE2ljPZSeQylSEyg,Data School
UCneQdPbDLwZ__ZXP0YVwiag,http://www.youtube.com/channel/UCneQdPbDLwZ__ZXP0YVwiag,Honestly by Tanmay Bhat
UCnmc_PeDpqp5ww2PcB4dU9w,http://www.youtube.com/channel/UCnmc_PeDpqp5ww2PcB4dU9w,Terribly Tiny Tales
UCo8bcnLyZH8tBIH9V1mLgqQ,http://www.youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut
UCoLUji8TYrgDy74_iiazvYA,http://www.youtube.com/channel/UCoLUji8TYrgDy74_iiazvYA,Jarvis Johnson
UCoov9QMB5gkH4hx5r_Q49ew,http://www.youtube.com/channel/UCoov9QMB5gkH4hx5r_Q49ew,TheQuillCompany
UCosWOTQyKE0tN1qE4Ah80Og,http://www.youtube.com/channel/UCosWOTQyKE0tN1qE4Ah80Og,Alaine Baybayan
UCp9-3fFhiTjcCNxccOJ2vNA,http://www.youtube.com/channel/UCp9-3fFhiTjcCNxccOJ2vNA,itschloetan
UCpAN39LSR77qdCjxBnyA3CQ,http://www.youtube.com/channel/UCpAN39LSR77qdCjxBnyA3CQ,Dhrubo Editz
UCplkk3J5wrEl0TNrthHjq4Q,http://www.youtube.com/channel/UCplkk3J5wrEl0TNrthHjq4Q,Kurt Hugo Schneider
UCpqf-UHCeCSd0BqoxxrDv8g,http://www.youtube.com/channel/UCpqf-UHCeCSd0BqoxxrDv8g,leena norms
UCptsD7FpSKiEevFY76BzDWQ,http://www.youtube.com/channel/UCptsD7FpSKiEevFY76BzDWQ,BRAIN TRAIN
